Fiscal_Year,County,Program,Exemption_Category,Individuals_Receiving_Medicaid,Exempt_Individuals,Work_Required_Individuals,CER_1_Year,CER_2_Years,CER_3_Years,CER_4Plus_Years,CER_Percent,State
2022,Philadelphia,Medicaid C,Disability,15098,6039,9059,670,675,348,109,60.0,Pennsylvania
2022,Allegheny,Medicaid A,Student,7550,3020,4530,261,179,381,624,60.0,Pennsylvania
2022,Montgomery,Medicaid C,Pregnant,4926,1970,2956,177,920,964,531,60.01,Pennsylvania
2022,Bucks,Medicaid B,Pregnant,14500,5800,8700,946,434,428,217,60.0,Pennsylvania
2022,Delaware,Medicaid A,Caretaker,16228,6491,9737,542,990,622,673,60.0,Pennsylvania
2022,Lancaster,Medicaid C,Student,8985,3594,5391,576,178,764,595,60.0,Pennsylvania
2022,Chester,Medicaid C,Pregnant,10771,4308,6463,516,938,778,168,60.0,Pennsylvania
2022,York,Medicaid A,Student,9883,3953,5930,451,678,470,301,60.0,Pennsylvania
2022,Berks,Medicaid A,Pregnant,14396,5758,8638,277,349,328,640,60.0,Pennsylvania
2022,Lehigh,Medicaid C,Student,8108,3243,4865,812,387,911,312,60.0,Pennsylvania
2022,Westmoreland,Medicaid C,Disability,11427,4570,6857,941,849,222,658,60.01,Pennsylvania
2022,Luzerne,Medicaid A,Caretaker,14840,5936,8904,474,717,724,979,60.0,Pennsylvania
2022,Northampton,Medicaid C,Caretaker,6807,2722,4085,143,648,284,142,60.01,Pennsylvania
2022,Dauphin,Medicaid A,Pregnant,10586,4234,6352,634,172,412,588,60.0,Pennsylvania
2022,Erie,Medicaid A,Disability,15971,6388,9583,634,991,168,347,60.0,Pennsylvania
2022,Cumberland,Medicaid A,Student,17119,6847,10272,711,904,300,359,60.0,Pennsylvania
2022,Lackawanna,Medicaid B,Student,6611,2644,3967,122,825,184,274,60.01,Pennsylvania
2022,Washington,Medicaid A,Student,7621,3048,4573,626,375,568,830,60.01,Pennsylvania
2022,Butler,Medicaid A,Pregnant,6923,2769,4154,558,911,675,510,60.0,Pennsylvania
2022,Monroe,Medicaid B,Caretaker,7970,3188,4782,997,959,725,753,60.0,Pennsylvania
2022,Beaver,Medicaid A,Student,9136,3654,5482,752,388,244,973,60.0,Pennsylvania
2022,Centre,Medicaid B,Student,7280,2912,4368,800,454,682,788,60.0,Pennsylvania
2022,Franklin,Medicaid B,Caretaker,6761,2704,4057,735,688,900,829,60.01,Pennsylvania
2022,Lebanon,Medicaid C,Disability,4493,1797,2696,313,815,756,638,60.0,Pennsylvania
2022,Schuylkill,Medicaid A,Pregnant,10628,4251,6377,686,508,459,397,60.0,Pennsylvania
2022,Cambria,Medicaid C,Disability,16405,6562,9843,117,655,279,227,60.0,Pennsylvania
2022,Fayette,Medicaid B,Student,10867,4346,6521,801,421,206,163,60.01,Pennsylvania
2022,Blair,Medicaid A,Pregnant,15560,6224,9336,471,1000,264,185,60.0,Pennsylvania
2022,Lycoming,Medicaid C,Student,12473,4989,7484,222,251,115,924,60.0,Pennsylvania
2022,Mercer,Medicaid C,Student,16744,6697,10047,531,146,119,817,60.0,Pennsylvania
2022,Adams,Medicaid C,Student,17087,6834,10253,865,650,160,122,60.0,Pennsylvania
2022,Northumberland,Medicaid B,Pregnant,10720,4288,6432,756,748,633,435,60.0,Pennsylvania
2022,Lawrence,Medicaid A,Caretaker,5428,2171,3257,530,903,620,806,60.0,Pennsylvania
2022,Indiana,Medicaid A,Pregnant,16165,6466,9699,170,809,908,597,60.0,Pennsylvania
2022,Crawford,Medicaid B,Caretaker,15780,6312,9468,482,434,825,271,60.0,Pennsylvania
2022,Somerset,Medicaid C,Caretaker,15615,6246,9369,160,330,559,457,60.0,Pennsylvania
2022,Columbia,Medicaid C,Disability,12459,4983,7476,645,796,477,807,60.0,Pennsylvania
2022,Armstrong,Medicaid C,Pregnant,16959,6783,10176,203,910,387,872,60.0,Pennsylvania
2022,Venango,Medicaid C,Student,12771,5108,7663,281,323,865,589,60.0,Pennsylvania
2022,Bedford,Medicaid A,Student,9468,3787,5681,379,701,437,211,60.0,Pennsylvania
2022,Mifflin,Medicaid A,Pregnant,10485,4194,6291,504,762,767,694,60.0,Pennsylvania
2022,Perry,Medicaid B,Student,5582,2232,3350,121,835,537,582,60.01,Pennsylvania
2022,Union,Medicaid A,Disability,6502,2600,3902,367,135,710,914,60.01,Pennsylvania
2022,Warren,Medicaid B,Student,13431,5372,8059,347,532,568,124,60.0,Pennsylvania
2022,Huntingdon,Medicaid A,Disability,11242,4496,6746,137,830,552,422,60.01,Pennsylvania
2022,Bradford,Medicaid C,Student,15778,6311,9467,474,444,859,470,60.0,Pennsylvania
2022,Wayne,Medicaid A,Disability,17146,6858,10288,790,503,186,839,60.0,Pennsylvania
2022,Susquehanna,Medicaid A,Student,13605,5442,8163,451,609,117,590,60.0,Pennsylvania
2022,Clarion,Medicaid B,Disability,16430,6572,9858,209,526,869,859,60.0,Pennsylvania
2022,Greene,Medicaid C,Pregnant,6794,2717,4077,966,998,725,806,60.01,Pennsylvania
2022,Tioga,Medicaid C,Disability,13868,5547,8321,714,945,449,620,60.0,Pennsylvania
2022,Jefferson,Medicaid A,Disability,5534,2213,3321,373,550,548,751,60.01,Pennsylvania
2022,McKean,Medicaid C,Disability,4813,1925,2888,468,572,580,569,60.0,Pennsylvania
2022,Snyder,Medicaid C,Student,15919,6367,9552,821,475,521,514,60.0,Pennsylvania
2022,Wyoming,Medicaid C,Student,7919,3167,4752,705,242,211,872,60.01,Pennsylvania
2022,Montour,Medicaid A,Disability,8124,3249,4875,904,506,217,428,60.01,Pennsylvania
2022,Juniata,Medicaid A,Disability,11908,4763,7145,582,889,107,849,60.0,Pennsylvania
2022,Sullivan,Medicaid B,Caretaker,11649,4659,6990,790,972,608,746,60.01,Pennsylvania
2022,Forest,Medicaid B,Student,14255,5702,8553,495,175,655,142,60.0,Pennsylvania
2022,Elk,Medicaid A,Student,13578,5431,8147,378,445,187,812,60.0,Pennsylvania
2022,Cameron,Medicaid C,Disability,16286,6514,9772,243,416,517,670,60.0,Pennsylvania
